Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3401701,2016-05-13 16:14:21,2016-04-19 11:08:46,4000000,204000000,0,51,87,,https://sra-download.ncbi.nlm.nih.gov/traces/sra39/SRR/003321/SRR3401701,SRX1712680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP073483,PRJNA318881,2,318881,SRS1402023,SAMN04869626,simple,9606,Homo sapiens,GSM2126999,,,,,,,no,,,,,GEO,SRA416164,,public,79D8427873446387801C9C128836946F,A9944ADD91AB917F9BC1F69BA90CB632
SRR3279155,2016-07-05 13:39:07,2016-08-19 17:26:18,17194146,1306729617,0,75,649,GRCh37,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/003202/SRR3279155,SRX1653222,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP072176,PRJNA315980,,315980,SRS1354340,SAMN04572522,simple,9606,Homo sapiens,GSM2095941,,,,,,,no,,,,,GEO,SRA391718,,public,5B9AE397A516E957B0C64070A0DCCE0A,F7BD395C40C9811495A91755EDF22BE4
SRR2965318,2017-01-19 16:24:32,2015-11-30 12:14:50,581856,116371200,581856,200,80,,https://sra-download.ncbi.nlm.nih.gov/traces/sra36/SRR/002895/SRR2965318,SRX1454926,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP066781,PRJNA304408,2,304408,SRS1181648,SAMN04301317,simple,9606,Homo sapiens,GSM1956718,,,,,,,no,,,,,GEO,SRA314130,,public,8DEBC4B8BA52B949385366BA6C2D6110,79707608354DF8839073DCD79603AB9B
SRR4057765,2016-10-06 16:17:16,2016-08-24 18:30:52,560359,25776514,0,46,26,,https://sra-download.ncbi.nlm.nih.gov/traces/sra43/SRR/003962/SRR4057765,SRX2047132,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP067844,PRJNA307121,2,307121,SRS1639633,SAMN05563272,simple,9606,Homo sapiens,GSM2270898,,,,,,,no,,,,,GEO,SRA323017,,public,2167BB1C3FC3C65119C71B346AA56E21,322FBF4F6EE624C3B376B994C3213939
SRR3533934,2016-09-06 15:49:11,2016-05-17 12:32:01,291262,29126200,0,100,19,,https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/003451/SRR3533934,SRX1768404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP075248,PRJNA321741,2,321741,SRS1441082,SAMN05002744,simple,9606,Homo sapiens,GSM2153755,,,,,,,no,,,,,GEO,SRA426370,,public,5A7DEF809EFB436B127F3FBCA5EDDD43,8705BB1C73A401370FAD67CC58A1E56C
SRR5290098,2017-05-15 17:09:37,2017-02-27 11:53:26,3215039,163966989,0,51,65,,https://sra-download.ncbi.nlm.nih.gov/traces/sra46/SRR/005166/SRR5290098,SRX2592821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP067759,PRJNA306878,2,306878,SRS2014067,SAMN06464941,simple,9606,Homo sapiens,GSM2508530,,,,,,,no,,,,,GEO,SRA322626,,public,E36C5C583CB60E492DC4DB6E5CDB09A3,CAEF4AFC712F1973A20327736EFCF582
SRR330889,2011-08-31 09:15:04,2014-05-31 01:24:48,22031404,793130544,0,36,402,,https://sra-download.ncbi.nlm.nih.gov/traces/sra2/SRR/000323/SRR330889,SRX091727,GSM768973: Skin psoriasis uninvolved 10,RNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP007825,PRJNA144911,2,144911,SRS257308,SAMN00709267,simple,9606,Homo sapiens,GSM768973,,,,,,,no,,,,,GEO,SRA044989,,public,7C3BC4193DBADF24C0D072E650915DF3,1619A4C23E457BB0EFB27766F4446C3E
SRR1643252,2014-12-15 17:09:14,2014-11-06 13:55:09,4000000,408000000,4000000,102,244,,https://sra-download.ncbi.nlm.nih.gov/traces/sra22/SRR/001604/SRR1643252,SRX753110,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049593,PRJNA266526,2,266526,SRS738561,SAMN03165866,simple,9606,Homo sapiens,GSM1539029,,,,,,,no,,,,,GEO,SRA199491,,public,542A97454A3D622FF90F17D61C291D0E,E71C1E3E721D53607AA2AE7678180BBC
SRR2058343,2016-06-13 10:37:12,2015-06-10 11:35:28,90139263,9104065563,0,101,5964,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/002010/SRR2058343,SRX1055053,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059322,PRJNA286292,2,286292,SRS957780,SAMN03768372,simple,9606,Homo sapiens,GSM1707996,,,,,,,no,,,,,GEO,SRA272446,,public,DA8A80C41BFE73975A522FFFC8E005CB,0F7AB3250F9735DF94D96FE735BA0E8F
SRR5606342,2017-05-29 16:30:16,2017-05-25 17:37:41,194120,8735400,0,45,4,,https://sra-download.ncbi.nlm.nih.gov/traces/sra48/SRR/005474/SRR5606342,SRX2858877,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP108076,PRJNA388108,,388108,SRS2229564,SAMN07170135,simple,9606,Homo sapiens,GSM2641646,,,,,,,no,,,,,GEO,SRA566776,,public,4C314FCC92A500EA0BBB98608972AD01,3BCD30A895DD991DB388AE74D448EFF7
